,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_France,Geography_Germany,Geography_Spain
1,619.0,0.0,42.0,2.0,0.0,1.0,1.0,1.0,101348.88,0.0,0.0,1.0
2,608.0,0.0,41.0,1.0,83807.86,1.0,0.0,1.0,112542.58,1.0,0.0,0.0
3,502.0,0.0,42.0,8.0,159660.8,3.0,1.0,0.0,113931.57,1.0,0.0,0.0
4,699.0,0.0,39.0,1.0,0.0,2.0,0.0,0.0,93826.63,0.0,0.0,1.0
5,850.0,0.0,43.0,2.0,125510.82,1.0,1.0,1.0,79084.1,0.0,0.0,1.0
6,645.0,1.0,44.0,8.0,113755.78,2.0,1.0,0.0,149756.71,1.0,0.0,0.0
7,822.0,1.0,50.0,7.0,0.0,2.0,1.0,1.0,10062.8,0.0,1.0,0.0
8,376.0,0.0,29.0,4.0,115046.74,4.0,1.0,0.0,119346.88,1.0,0.0,0.0
9,501.0,1.0,44.0,4.0,142051.07,2.0,0.0,1.0,74940.5,1.0,0.0,0.0
10,684.0,1.0,27.0,2.0,134603.88,1.0,1.0,1.0,71725.73,1.0,0.0,0.0
11,528.0,1.0,31.0,6.0,102016.72,2.0,0.0,0.0,80181.12,0.0,0.0,1.0
12,497.0,1.0,24.0,3.0,0.0,2.0,1.0,0.0,76390.01,1.0,0.0,0.0
13,476.0,0.0,34.0,10.0,0.0,2.0,1.0,0.0,26260.98,1.0,0.0,0.0
14,549.0,0.0,25.0,5.0,0.0,2.0,0.0,0.0,190857.79,0.0,0.0,1.0
15,635.0,0.0,35.0,7.0,0.0,2.0,1.0,1.0,65951.65,0.0,1.0,0.0
16,616.0,1.0,45.0,3.0,143129.41,2.0,0.0,1.0,64327.26,0.0,1.0,0.0
17,653.0,1.0,58.0,1.0,132602.88,1.0,1.0,0.0,5097.67,0.0,0.0,1.0
18,549.0,0.0,24.0,9.0,0.0,2.0,1.0,1.0,14406.41,0.0,0.0,1.0
19,587.0,1.0,45.0,6.0,0.0,1.0,0.0,0.0,158684.81,1.0,0.0,0.0
20,726.0,0.0,24.0,6.0,0.0,2.0,1.0,1.0,54724.03,1.0,0.0,0.0
21,732.0,1.0,41.0,8.0,0.0,2.0,1.0,1.0,170886.17,0.0,0.0,1.0
22,636.0,0.0,32.0,8.0,0.0,2.0,1.0,0.0,138555.46,0.0,0.0,1.0
23,510.0,0.0,38.0,4.0,0.0,1.0,1.0,0.0,118913.53,1.0,0.0,0.0
24,669.0,1.0,46.0,3.0,0.0,2.0,0.0,1.0,8487.75,1.0,0.0,0.0
25,846.0,0.0,38.0,5.0,0.0,1.0,1.0,1.0,187616.16,1.0,0.0,0.0
26,577.0,1.0,25.0,3.0,0.0,2.0,0.0,1.0,124508.29,0.0,1.0,0.0
27,756.0,1.0,36.0,2.0,136815.64,1.0,1.0,1.0,170041.95,1.0,0.0,0.0
28,571.0,1.0,44.0,9.0,0.0,2.0,0.0,0.0,38433.35,0.0,1.0,0.0
29,574.0,0.0,43.0,3.0,141349.43,1.0,1.0,1.0,100187.43,1.0,0.0,0.0
